ms,distance_mm,rain_pct,speed_kph,sign_event,gap_found,gap_width_mm,cabin_tc_x10,ambient_tc_x10,humid_pct,setpoint_x10,voice_cmd
0,3000,0,40,50,0,0,200,180,40,220,
500,2800,0,42,0,0,0,202,180,40,220,
1000,2600,0,44,0,0,0,204,180,40,220,
1500,2400,0,46,0,0,0,206,180,40,220,
2000,2200,0,48,0,0,0,208,180,40,220,
2500,2000,0,50,0,0,0,210,180,40,220,
3000,1800,0,52,0,0,0,212,180,40,220,
3500,1600,0,54,30,0,0,214,180,40,220,
4000,1400,0,52,0,0,0,216,180,40,220,
4500,1200,0,50,0,0,0,218,180,40,220,
5000,1000,0,48,0,0,0,220,180,40,220,
5500,1200,0,46,0,0,0,220,180,40,220,
6000,1400,0,48,0,0,0,220,180,40,220,
6500,1600,0,50,0,1,6000,220,180,40,220,
7000,1800,0,45,0,1,6000,220,180,40,220,
7500,2000,0,40,0,1,6000,220,180,40,220,
8000,2200,0,35,0,0,0,220,180,40,220,
8500,2400,0,30,0,0,0,220,180,40,220,
9000,2600,0,25,0,0,0,220,180,40,220,
9500,2800,0,20,0,0,0,220,180,40,220,
10000,3000,0,15,0,0,0,220,180,40,220,
