ms,distance_mm,rain_pct,speed_kph,sign_event,gap_found,gap_width_mm,cabin_tc_x10,ambient_tc_x10,humid_pct,setpoint_x10,voice_cmd
0,5000,0,80,100,0,0,240,300,35,220,
1000,4800,0,85,0,0,0,242,300,35,220,
2000,4600,0,90,0,0,0,244,300,35,220,
3000,4400,0,95,0,0,0,246,300,35,220,
4000,4200,0,100,0,0,0,248,300,35,220,
5000,4000,0,105,0,0,0,250,300,35,220,
6000,3800,0,110,0,0,0,252,300,35,220,
7000,3600,0,105,0,0,0,254,300,35,220,
8000,3400,0,100,0,0,0,256,300,35,220,
9000,3200,0,95,0,0,0,258,300,35,220,
10000,3000,0,90,0,0,0,260,300,35,220,
11000,2800,0,85,0,0,0,260,300,35,220,
12000,2600,0,80,0,0,0,258,300,35,220,
13000,2400,0,75,0,0,0,256,300,35,220,
14000,2200,0,70,0,0,0,254,300,35,220,
15000,2000,0,65,0,0,0,252,300,35,220,
16000,1800,0,60,0,0,0,250,300,35,220,hey car turn on radio
17000,1600,0,55,0,0,0,248,300,35,220,
18000,1400,0,50,0,0,0,246,300,35,220,
19000,1200,0,45,0,0,0,244,300,35,220,
20000,1000,0,40,0,0,0,242,300,35,220,
