ms,distance_mm,rain_pct,speed_kph,sign_event,gap_found,gap_width_mm,cabin_tc_x10,ambient_tc_x10,humid_pct,setpoint_x10,voice_cmd
0,2000,10,30,30,0,0,180,160,80,200,
500,1900,15,28,0,0,0,182,160,80,200,
1000,1800,20,26,0,0,0,184,160,80,200,
1500,1700,25,24,0,0,0,186,160,80,200,
2000,1600,30,22,0,0,0,188,160,80,200,
2500,1500,35,20,0,0,0,190,160,80,200,
3000,1400,40,18,0,0,0,192,160,80,200,
3500,1300,45,16,0,0,0,194,160,80,200,
4000,1200,50,14,0,0,0,196,160,80,200,
4500,1100,55,12,0,0,0,198,160,80,200,
5000,1000,60,10,0,1,5200,200,160,80,200,
5500,1100,65,8,0,1,5200,200,160,80,200,
6000,1200,70,6,0,1,5200,200,160,80,200,
6500,1300,75,4,0,1,5200,200,160,80,200,
7000,1400,80,2,0,1,5200,200,160,80,200,
7500,1500,75,4,0,0,0,200,160,75,200,
8000,1600,70,6,0,0,0,200,160,70,200,
8500,1700,65,8,0,0,0,200,160,65,200,
9000,1800,60,10,0,0,0,200,160,60,200,
9500,1900,55,12,0,0,0,200,160,55,200,
10000,2000,50,15,0,0,0,200,160,50,200,hey car open sunroof
